# slug<TAB>Wikipedia article title  — for the 60 still-synthetic covers
academy-of-management-annals	Academy of Management Annals
academy-of-management-journal	Academy of Management Journal
academy-of-management-review	Academy of Management Review
aej-applied-economics	American Economic Journal
aej-economic-policy	American Economic Journal
aej-macroeconomics	American Economic Journal
aej-microeconomics	American Economic Journal
aer-insights	American Economic Review
angewandte-chemie-international-edition	Angewandte Chemie
annals-of-mathematics	Annals of Mathematics
annual-review-of-economics	Annual Review of Economics
brookings-papers-on-economic-activity	Brookings Papers on Economic Activity
ca-a-cancer-journal-for-clinicians	CA: A Cancer Journal for Clinicians
contemporary-accounting-research	Contemporary Accounting Research
economic-policy	Economic Policy (journal)
elife	ELife (journal)
entrepreneurship-theory-and-practice	Entrepreneurship Theory and Practice
financial-management	Financial Management (journal)
human-resource-management	Human Resource Management (journal)
ieee-transactions-on-pattern-analysis-and-machine-intelligence	IEEE Transactions on Pattern Analysis and Machine Intelligence
informs-journal-on-computing	INFORMS Journal on Computing
international-economic-review	International Economic Review
journal-of-accounting-research	Journal of Accounting Research
journal-of-applied-econometrics	Journal of Applied Econometrics
journal-of-business-and-economic-statistics	Journal of Business & Economic Statistics
journal-of-economic-geography	Journal of Economic Geography
journal-of-economic-literature	Journal of Economic Literature
journal-of-economic-perspectives	Journal of Economic Perspectives
journal-of-labor-economics	Journal of Labor Economics
journal-of-law-and-economics	Journal of Law and Economics
journal-of-machine-learning-research	Journal of Machine Learning Research
journal-of-management-information-systems	Journal of Management Information Systems
journal-of-management-studies	Journal of Management Studies
journal-of-marketing	Journal of Marketing
journal-of-marketing-research	Journal of Marketing Research
journal-of-political-economy	Journal of Political Economy
journal-of-the-association-for-information-systems	Journal of the Association for Information Systems
marketing-science	Marketing Science (journal)
mathematical-finance	Mathematical Finance (journal)
organization-science	Organization Science (journal)
physical-review-d	Physical Review
physical-review-letters	Physical Review Letters
physical-review-x	Physical Review X
production-and-operations-management	Production and Operations Management
prx-quantum	PRX Quantum
quantitative-economics	Quantitative Economics
reports-on-progress-in-physics	Reports on Progress in Physics
review-of-economic-studies	The Review of Economic Studies
review-of-financial-studies	The Review of Financial Studies
reviews-of-modern-physics	Reviews of Modern Physics
strategic-management-journal	Strategic Management Journal
the-astrophysical-journal	The Astrophysical Journal
the-econometrics-journal	The Econometrics Journal
the-economic-journal	The Economic Journal
world-bank-economic-review	The World Bank Economic Review
