slug	source_label	license	source_url	px
academy-of-management-annals	aom.org	fair-use cover thumbnail	https://www.aom.org/wp-content/uploads/2025/07/imgjournal_annals-786x1024.jpg	246x320
academy-of-management-journal	inapublikatama.com via wp.com	fair-use cover thumbnail	https://i0.wp.com/inapublikatama.com/wp-content/uploads/2019/05/Academy-of-Management-Journal.jpg?fit=640%2C738&ssl=1	277x320
academy-of-management-review	journals.aom.org (Wayback proxy)	fair-use cover thumbnail	https://web.archive.org/web/2id_/https://journals.aom.org/cms/10.5465/amr.2024.49.issue-1/asset/16177535-e516-7753-6e51-1775356e5161/cover.jpg	245x320
accounting-and-economics-research	Publisher:维普 cqvip (会计与经济研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/82368a/82368a.jpg	230x320
accounting-organizations-and-society	Publisher:Elsevier	publisher cover (fair-use)	https://ars.els-cdn.com/content/image/X03613682.jpg	240x320
accounting-research	Publisher:维普 cqvip (会计研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96456x/96456x.jpg	230x320
accounts-of-chemical-research	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/8/87/Accounts_of_Chemical_Research_%28cover%29.jpg	241x320
acs-nano	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/7/7e/Nano_cover.jpg	242x320
administrative-science-quarterly	en.wikipedia	fair-use cover thumbnail	https://upload.wikimedia.org/wikipedia/en/c/cc/AdministrativeScienceQuarterly.jpg	224x320
advanced-materials	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/e/e4/Advanced_Materials_%28journal%29_cover.jpg	240x320
aej-applied-economics	Emory Economics Dept	fair-use cover thumbnail	https://economics.emory.edu/images/research-images/american-economic-journal-applied-economics.jpg	220x320
aej-economic-policy	Notre Dame Economics	fair-use cover thumbnail	https://economics.nd.edu/assets/601443/600x/american_economic_journal_economic_policy.jpg	220x320
aej-macroeconomics	Emory Economics Dept	fair-use cover thumbnail	https://economics.emory.edu/images/research-images/american-economic-journal-macroeconomics.jpg	217x320
aej-microeconomics	Duke Economics	fair-use cover thumbnail	https://econ.duke.edu/sites/econ.duke.edu/files/styles/news_full_image/public/2021-11/694653_0.jpeg?itok=PPd3DaTi	217x320
aer	en.wikipedia	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/en/8/8a/The_American_Economic_Review_%28cover%29.jpg	218x320
aer-insights	Emory Economics Dept	fair-use cover thumbnail	https://economics.emory.edu/images/research-images/american-economic-review-insights.jpg	219x320
agricultural-systems	Elsevier ars.els-cdn	fair-use cover thumbnail	https://ars.els-cdn.com/content/image/X0308521X.jpg	240x320
american-economic-review	en.wikipedia	fair-use cover thumbnail	https://upload.wikimedia.org/wikipedia/en/8/8a/The_American_Economic_Review_%28cover%29.jpg	218x320
american-educational-research-journal	Sage showCoverImage via Wayback (AERJ)	fair-use cover thumbnail	https://web.archive.org/web/20220507151612im_/https://journals.sagepub.com/action/showCoverImage?journalCode=aer	213x320
american-historical-review	OUP silverchair CDN	fair-use cover thumbnail	https://oup.silverchair-cdn.com/oup/backfile/Content_public/Journal/ahr/Issue/130/3/1/m_ahr_130_3cover.jpeg?Expires=1820778567&Signature=vZXr9KVQipTJKQiOX3xbxVB6Y6Ggyp5rTdr-IeMoGuPHUxPPFuFAp~6r7jTPW-q5-EHFWd1t5sYQrL1YaDgLa~SBuOQFpR043~Q4wPfqHq8sbHPp-mNMFAEOPOa9yYGhFjIhCOrsLhsOrmLSBvB9c-6vxweq7vfA82ZxGRUuMyC9kH2VAsSZJhRe5XigC6nwFBy1y8pLqLEJAhrmVVSDYeZ6HHvb52N~pwvIjNxt~PbUWK6cjpLGTQVhvA88jA4tO0XsxyWvvzQWip0j8tBDF0RkP90hmGjaNzuqOEJ-DNUfs2W300oXm0N8il4UwvZOv782WHaTKPsz9O~GJB1omQ__&Key-Pair-Id=APKAIE5G5CRDK6RD3PGA	224x320
american-journal-of-political-science	Wiley media CDN	fair-use cover thumbnail	https://media.wiley.com/journal/15405907-cover.jpg	243x320
american-journal-of-sociology	Wikipedia (AJS cover)	fair-use cover thumbnail	https://upload.wikimedia.org/wikipedia/en/8/8f/Jan2006AJSCover.jpg	212x320
american-political-science-review	Cambridge Core journal page	fair-use cover thumbnail	https://www.cambridge.org/core/journals/american-political-science-review	240x320
american-sociological-review	Sage CDN via Wayback (ASR)	fair-use cover thumbnail	https://web.archive.org/web/2id_/https://journals.sagepub.com/cms/asset/89214cc4-97c4-4fe8-bab8-3fa0e997b438/asra_76_6.largecover.png	218x320
angewandte-chemie-international-edition	Wikipedia (en)	fair-use thumbnail	https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Logo_of_Angewandte_Chemie_International_Edition.svg/500px-Logo_of_Angewandte_Chemie_International_Edition.svg.png	320x131
annals-of-internal-medicine	peeref.com (fair-use cover thumbnail)	fair-use cover thumbnail	https://peeref-open.s3.amazonaws.com/storage/images/covers/614.jpg	246x320
annals-of-mathematics	peeref.com (fair-use cover thumbnail)	fair-use cover thumbnail	https://peeref-open.s3.amazonaws.com/storage/images/covers/616.jpg	219x320
annual-review-of-economics	Annual Reviews docserver	fair-use cover thumbnail	https://www.annualreviews.org/docserver/fulltext/econ-184x258.png	228x320
asia-pacific-economic-review	Publisher:维普 cqvip (亚太经济)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/96371x/96371x.jpg	230x320
