from_venue	to_venue	to_display_name	mentions	same_discipline	to_coverage	to_tier	to_region
aaai	neurips	NeurIPS	10	yes	depth	field	international
aaai	icml	ICML	7	yes	depth	field	international
aaai	iclr	ICLR	6	yes	depth	field	international
aaai	ijcai	IJCAI	6	yes	depth	field	international
aaai	uai	UAI	4	yes	depth	field	international
aaai	aistats	AISTATS	3	yes	depth	field	international
aaai	chi	CHI	3	yes	depth	field	international
aaai	icra	ICRA	3	yes	depth	field	international
aaai-acm-conference-on-ai-ethics-and-society	aaai	AAAI	7	no	depth	field	international
aaai-acm-conference-on-ai-ethics-and-society	facct	FAccT	5	no	depth	field	international
aaai-conference-on-human-computation-and-crowdsourcing	aaai	AAAI	7	no	depth	field	international
aaai-conference-on-human-computation-and-crowdsourcing	cscw	CSCW	4	no	depth	field	international
aaai-conference-on-human-computation-and-crowdsourcing	chi	CHI	3	no	depth	field	international
aamas	aaai	AAAI	29	yes	depth	field	international
aamas	neurips	NeurIPS	13	yes	depth	field	international
aamas	icml	ICML	12	yes	depth	field	international
aamas	ijcai	IJCAI	11	yes	depth	field	international
academy-of-management-annals	academy-of-management-review	Academy of Management Review	11	yes	depth	FT50 / UTD24	international
academy-of-management-annals	academy-of-management-journal	Academy of Management Journal	8	yes	depth	FT50 / UTD24	international
academy-of-management-annals	journal-of-management	Journal of Management	7	yes	depth	field	international
academy-of-management-annals	journal-of-management-studies	Journal of Management Studies	3	yes	depth	field	international
academy-of-management-journal	academy-of-management-review	Academy of Management Review	15	yes	depth	FT50 / UTD24	international
academy-of-management-journal	administrative-science-quarterly	Administrative Science Quarterly	9	yes	depth	FT50 / UTD24	international
academy-of-management-journal	strategic-management-journal	Strategic Management Journal	9	yes	depth	FT50 / UTD24	international
academy-of-management-review	academy-of-management-journal	Academy of Management Journal	21	yes	depth	FT50 / UTD24	international
academy-of-management-review	administrative-science-quarterly	Administrative Science Quarterly	13	yes	depth	FT50 / UTD24	international
academy-of-management-review	strategic-management-journal	Strategic Management Journal	13	yes	depth	FT50 / UTD24	international
accounting-organizations-and-society	journal-of-accounting-research	Journal of Accounting Research	11	yes	depth	top-3 accounting	international
accounting-organizations-and-society	the-accounting-review	The Accounting Review	10	yes	depth	top-3 accounting	international
accounting-organizations-and-society	contemporary-accounting-research	Contemporary Accounting Research	8	yes	depth	field	international
accounting-research	management-review	管理评论	4	no	breadth	field	china
accounts-of-chemical-research	chemical-reviews	Chemical Reviews	2	yes	breadth	field	international
acl	emnlp	EMNLP	9	yes	depth	field	international
acl	eacl	EACL	6	yes	depth	field	international
